"Gene","Driving_Comparison","LFC"
"ENSRNOG00000004681","THC_O3_vs_VEH",-0.692263011891454
"ENSRNOG00000004696","THC_O3_vs_VEH",1.14899631201811
"ENSRNOG00000004709","THC_O3_vs_VEH",0.985989953000889
"ENSRNOG00000004723","THC_O3_vs_VEH",-0.60397011134257
"ENSRNOG00000004735","THC_O3_vs_VEH",0.610059004059858
"ENSRNOG00000004741","THC_O3_vs_VEH",-0.837285883082538
"ENSRNOG00000004753","THC_O3_vs_VEH",1.76029608520614
"ENSRNOG00000004760","VEH_O3_vs_VEH",0.856092384297399
"ENSRNOG00000004772","THC_vs_VEH",-1.666629770241
"ENSRNOG00000004806","THC_O3_vs_VEH",1.2766736525886
"ENSRNOG00000004814","THC_O3_vs_VEH",-0.927003102840669
"ENSRNOG00000004831","THC_O3_vs_VEH",0.919263210620954
"ENSRNOG00000004904","THC_O3_vs_VEH",-0.379050477442043
"ENSRNOG00000004909","THC_O3_vs_VEH",0.392475116540603
"ENSRNOG00000004947","THC_O3_vs_VEH",1.35539671697254
"ENSRNOG00000004962","VEH_O3_vs_VEH",0.75938196591351
"ENSRNOG00000004973","VEH_O3_vs_VEH",0.49986583507125
"ENSRNOG00000004978","THC_O3_vs_VEH",1.12493677667002
"ENSRNOG00000004980","VEH_O3_vs_VEH",-0.677603740368014
"ENSRNOG00000005033","THC_O3_vs_VEH",-0.374748609110487
"ENSRNOG00000005043","THC_O3_vs_VEH",1.15403934836417
"ENSRNOG00000005070","THC_O3_vs_VEH",1.0713519734897
"ENSRNOG00000005130","VEH_O3_vs_VEH",0.758813360223423
"ENSRNOG00000005135","THC_O3_vs_VEH",1.60531614854639
"ENSRNOG00000005151","THC_vs_VEH_O3",1.30263251262778
"ENSRNOG00000005165","THC_O3_vs_VEH",1.46443989374869
"ENSRNOG00000005184","THC_O3_vs_VEH",-0.722675788006729
"ENSRNOG00000005191","THC_O3_vs_VEH",0.781205796681625
"ENSRNOG00000005193","VEH_O3_vs_VEH",0.435343669728171
"ENSRNOG00000005195","THC_vs_VEH_O3",1.78905718611566
"ENSRNOG00000005203","VEH_O3_vs_VEH",-0.88264587746325
"ENSRNOG00000005260","THC_O3_vs_VEH",0.489818905578764
"ENSRNOG00000005276","THC_O3_vs_VEH",0.684267180732053
"ENSRNOG00000005289","THC_O3_vs_VEH",0.98596697578711
"ENSRNOG00000005292","THC_O3_vs_VEH",0.64549587960227
"ENSRNOG00000005303","VEH_O3_vs_VEH",0.346397548340246
"ENSRNOG00000005374","THC_O3_vs_VEH",-0.455824176398911
"ENSRNOG00000005377","THC_O3_vs_VEH",-0.444658749298794
"ENSRNOG00000005470","THC_O3_vs_VEH",0.804532935772501
"ENSRNOG00000005472","THC_O3_vs_VEH",1.54342357469268
"ENSRNOG00000005486","THC_O3_vs_VEH",1.37465481817515
"ENSRNOG00000005512","THC_O3_vs_VEH",-0.492860438500664
"ENSRNOG00000005528","THC_O3_vs_VEH",0.794474547005544
"ENSRNOG00000005556","THC_O3_vs_VEH",-0.911282551659393
"ENSRNOG00000005606","THC_O3_vs_VEH",0.963394566465283
"ENSRNOG00000005650","THC_vs_VEH_O3",3.90829592239552
"ENSRNOG00000005668","THC_O3_vs_VEH",-0.728857175069057
"ENSRNOG00000005695","THC_vs_VEH_O3",1.81686884624912
"ENSRNOG00000005698","VEH_O3_vs_VEH",-0.817795228895479
"ENSRNOG00000005724","THC_O3_vs_VEH",-1.12937963170486
"ENSRNOG00000005765","THC_O3_vs_VEH",-0.537425524038051
"ENSRNOG00000005766","VEH_O3_vs_VEH",1.01080877368159
"ENSRNOG00000005783","THC_O3_vs_VEH",1.89261807041393
"ENSRNOG00000005823","VEH_O3_vs_VEH",0.384682844500376
"ENSRNOG00000005849","VEH_O3_vs_VEH",0.521092246944815
"ENSRNOG00000005877","THC_O3_vs_VEH",0.403496805967283
"ENSRNOG00000005902","VEH_O3_vs_VEH",-0.548144552844384
"ENSRNOG00000005904","THC_O3_vs_VEH",0.747724810809765
"ENSRNOG00000005908","VEH_O3_vs_VEH",0.259246273190983
"ENSRNOG00000005923","THC_O3_vs_VEH",0.637291585586111
"ENSRNOG00000005924","THC_vs_VEH_O3",0.649949820575528
"ENSRNOG00000005933","THC_O3_vs_VEH",1.27901671629896
"ENSRNOG00000005988","THC_O3_vs_VEH",-0.571416653134478
